"행정구역별(1)",행정구역별(2),2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
"행정구역별(1)",행정구역별(2),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명),혼인건수 (건),이혼건수 (건),주민등록인구수(연앙인구) (명)
"서울특별시",구로구,3307,1017,449613.0,3472,923,423736.0,3470,899,427468.0,3610,885,427520.0,3357,883,424964.0,3156,826,425831.0,3045,817,422092.0,2674,783,415281.5,2460,775,409495.0,2286,741,402971.0,2063,733,400902.0
"서울특별시",금천구,1552,822,263116.0,1705,687,245195.0,1662,701,243438.0,1689,666,243288.0,1594,623,241020.0,1556,603,238463.0,1481,557,236284.0,1324,535,231819.0,1439,525,231214.0,1269,539,230453.0,1243,540,229269.5
"서울특별시",영등포구,3358,1010,441747.0,3283,918,406833.0,3342,863,397443.0,3155,872,391408.0,3086,817,386471.0,2951,773,382352.0,2934,726,378504.0,2609,693,367014.0,2539,628,361910.5,2664,632,360631.0,2449,684,360221.0
"서울특별시",동작구,2923,817,407973.0,2999,696,402709.0,3085,736,401408.0,3203,712,405491.0,3130,658,410815.0,2962,715,407470.0,2855,632,400641.0,2514,590,395233.5,2282,598,392903.5,2097,562,390522.0,2057,557,390350.0
"서울특별시",관악구,4296,1270,547311.0,4365,1086,531434.0,4372,1080,526397.0,4457,1039,523029.0,4183,1089,518028.0,3949,1005,513186.0,3859,896,509663.0,3537,926,500389.5,3205,817,497056.5,3090,856,494638.0,2802,875,493055.0
"서울특별시",서초구,3040,703,431131.0,3004,719,434720.0,3040,635,433564.0,3074,615,435044.0,2988,633,441763.0,2871,626,449678.0,2846,597,446764.0,2676,565,439368.5,2288,561,435952.0,2234,587,429232.0,2084,615,423950.0
"서울특별시",강남구,3500,1035,569499.0,3636,976,570095.0,3657,860,565710.0,3721,879,564197.0,3591,884,563599.0,3560,899,578114.0,3380,852,576495.0,3032,867,560257.0,2677,805,549396.0,2519,758,537082.0,2338,772,531575.0
"서울특별시",송파구,5195,1377,689296.0,4818,1234,685279.0,4893,1212,682209.0,4868,1171,673115.0,4445,1140,668415.0,4480,1121,664738.0,4386,1069,660302.0,4102,1039,650062.0,3896,1041,651722.5,3705,1010,656198.0,3651,1060,662019.5
"서울특별시",강동구,3343,1105,489655.0,3473,999,491871.0,3436,986,495138.0,3312,980,487905.0,3166,993,483379.0,2977,924,476597.0,2753,852,458658.0,2399,806,445082.5,2427,784,433809.5,2371,722,425539.0,2129,767,425410.0
"부산광역시",소계,18614,8550,3543030.0,20195,7645,3567910.0,20224,7514,3550963.0,20362,7501,3538484.0,20734,7444,3527635.0,18927,7345,3519401.0,18553,6649,3513777.0,17113,6859,3467418.0,15677,6651,3445833.0,14781,6678,3418069.0,13780,6787,3390159.5
